sheet_name_original,sheet_name_normalized,rows,columns,column_names
clientes_dia,clientes_dia,400,32,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | cliente_id | cliente_nombre | localidad | direccion | codigo_ruta | ruta | orden | dias_visita | ramo | subsegmento | segmento_operativo | segmento_11t | umbral_cobertura | botellas_ayer | importe_ayer | compra_ayer_flag | ccc_ayer_flag | cobertura_ayer_flag | botellas_mes | importe_mes | compra_mes_flag | ccc_mes_flag | cobertura_mes_flag | estado_cliente | prioridad_comercial
mod_volumen_vendedor,mod_volumen_vendedor,7,25,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | clientes_planificados | clientes_trad | clientes_auto | clientes_on | clientes_cobertura_mes_ok | clientes_sin_compra_mes | clientes_compra_ayer | botellas_ayer | venta_ayer | objetivo_mes | acumulado_mes | tendencia_mes | avance_pct | promedio_dia | media_necesaria | real_resultado | rechazo_pct | cambio_pct
mod_ccc_segmento,mod_ccc_segmento,9,12,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | segmento_operativo | clientes_con_compra | coberturas_logradas | botellas_vendidas | venta_neta
mod_11_titulares,mod_11_titulares,4400,17,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | cliente_id | cliente_nombre | segmento_operativo | segmento_11t | marca_objetivo | tiene_flag | falta_flag | botellas_mes | importe_mes | prioridad_marca
mod_alertas_descuentos,mod_alertas_descuentos,14,20,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | cliente_id | cliente_nombre | segmento_11t | articulo | marca | cant_base | cajas_eq | descuento_aplicado_pct | descuento_maximo_pct | exceso_pct | fuente_regla | importe_neto | valor_descuento
resumen_alertas_vend,resumen_alertas_vend,4,10,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | cantidad_alertas | exceso_pct_total | exceso_pct_promedio
mod_inversion_desc,mod_inversion_desc,39,16,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | segmento_operativo | segmento_11t | marca | clientes_con_compra | articulos_con_desc | inversion_total | venta_total | botellas_total | roi_comercial
mod_clientes_11t_10,mod_clientes_11t_10,2,11,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | marca | clientes_con_compra | venta_total | botellas_total | inversion_total | descuento_promedio_pct
mod_eficiencia_desc,mod_eficiencia_desc,75,25,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | vendedor_codigo | vendedor_nombre | cliente_id | cliente_nombre | segmento_operativo | segmento_11t | marca | articulo | descuento_pct | valor_descuento | importe_neto | cant_base | factor_volumen_necesario | crecimiento_min_pct | baseline_botellas_sin_desc | baseline_venta_sin_desc | baseline_visitas_sin_desc | volumen_objetivo_compensar | indice_compensacion | estado_eficiencia
mod_reintegros_ctrl,mod_reintegros_ctrl,52,15,fecha_ejecucion | fecha_objetivo | dia_objetivo | negocio_id | negocio_nombre | periodo_origen | periodo_reintegro_esperado | vendedor_codigo | vendedor_nombre | cliente_id | cliente_nombre | marca | inversion_descuento | venta_generada | estado_reintegro
log_motor,log_motor,25,3,timestamp | detalle | valor
