tipo,clave,detalle,filas,botellas
LINEA_SIN_CARGO_NETO_CERO,,neto=0 (bonificacion/sin cargo): no computa cobertura,326,2787.0
SKU_SIN_MATCH_EN_MATRIZ,14507,EL BAUTISMO MALBEC 6X750  — no pertenece a ningun titular oficial,64,237.0
SKU_SIN_MATCH_EN_MATRIZ,14508,EL BAUTISMO BLEND TINTAS 6X750  — no pertenece a ningun titular oficial,2,9.0
SKU_SIN_MATCH_EN_MATRIZ,14509,EL BAUTISMO BLEND B. DLCE 6X750  — no pertenece a ningun titular oficial,1,6.0
SKU_SIN_MATCH_EN_MATRIZ,14510,EL BAUTISMO ROSADO 6X750  — no pertenece a ningun titular oficial,1,6.0
SKU_SIN_MATCH_EN_MATRIZ,14553,LA GRAN NACHA X750 — no pertenece a ningun titular oficial,2,78.0
SKU_SIN_MATCH_EN_MATRIZ,14554,EL REGRESO SEM-CHEN  X750 — no pertenece a ningun titular oficial,4,189.0
SKU_SIN_MATCH_EN_MATRIZ,14578,TERMIDOR B. DULCE 12x1L — no pertenece a ningun titular oficial,13,141.0
SKU_SIN_MATCH_EN_MATRIZ,14583,FRIZZE EVOL BLUE NEW X1000 — no pertenece a ningun titular oficial,114,2214.0
SKU_SIN_MATCH_EN_MATRIZ,14590,TERMIDOR BLANCO 12X1L  — no pertenece a ningun titular oficial,4,96.0
SKU_SIN_MATCH_EN_MATRIZ,14594,FRIZZE BLUE LATA X473 — no pertenece a ningun titular oficial,48,552.0
SKU_SIN_MATCH_EN_MATRIZ,14605,TERMIDOR 2021 TINTO  12X1L  — no pertenece a ningun titular oficial,33,606.0
SKU_SIN_MATCH_EN_MATRIZ,14619,FRIZZE BUBBLE MOOD 6X1000 — no pertenece a ningun titular oficial,62,774.0
SKU_SIN_MATCH_EN_MATRIZ,14620,FRIZZE MANXANA POP 6X1000 — no pertenece a ningun titular oficial,36,582.0
SKU_SIN_MATCH_EN_MATRIZ,20250,SUTER VARIETAL CABERNET 6X750 — no pertenece a ningun titular oficial,4,21.0
SKU_SIN_MATCH_EN_MATRIZ,20251,SUTER VARIETAL MALBEC 6X750 — no pertenece a ningun titular oficial,36,192.0
SKU_SIN_MATCH_EN_MATRIZ,20255,SUTER VARIETAL TARDIO6X750 — no pertenece a ningun titular oficial,27,114.0
SKU_SIN_MATCH_EN_MATRIZ,20301,SUTER ETIQ MARRON DNAT 6X750 — no pertenece a ningun titular oficial,4,120.0
SKU_SIN_MATCH_EN_MATRIZ,20303,SUTER ETIQ MARRON NEW PIN 6X750 — no pertenece a ningun titular oficial,5,15.0
SKU_SIN_MATCH_EN_MATRIZ,20305,SUTER ETIQ MARRON BLANC DE BLANCO 6X 750 — no pertenece a ningun titular oficial,3,15.0
SKU_SIN_MATCH_EN_MATRIZ,20500,SUTER CHAMPAÑA E.BRUT 6X750 — no pertenece a ningun titular oficial,6,495.0
SKU_SIN_MATCH_EN_MATRIZ,30001,JW RED 12X750 UK — no pertenece a ningun titular oficial,86,616.0
SKU_SIN_MATCH_EN_MATRIZ,30002,JW RED 12X1000 UK — no pertenece a ningun titular oficial,7,79.0
SKU_SIN_MATCH_EN_MATRIZ,30003,JW BLACK LABEL 12x750 — no pertenece a ningun titular oficial,35,204.0
SKU_SIN_MATCH_EN_MATRIZ,30004,JW BLACK LABEL 12x1000 — no pertenece a ningun titular oficial,5,31.0
SKU_SIN_MATCH_EN_MATRIZ,30005,JW DOUBLE BLACK 6x750 — no pertenece a ningun titular oficial,10,28.0
SKU_SIN_MATCH_EN_MATRIZ,30009,J WALKER BLUE LABEL 18 6x750 — no pertenece a ningun titular oficial,2,7.0
SKU_SIN_MATCH_EN_MATRIZ,30010,J&B RARE 6X750 — no pertenece a ningun titular oficial,27,305.0
SKU_SIN_MATCH_EN_MATRIZ,30012,BAILEYS NUEVA BOTELLA 12x750 — no pertenece a ningun titular oficial,93,494.0
