accion_grupo,accion_nombre,canal,categoria,clientes_mes_actual,clientes_cat_mes_ant,clientes_nuevos_cat,clientes_retorno,pct_clientes_nuevos,litros_mes_actual,litros_mes_anterior,delta_litros_pct,inversion_pesos,costo_activacion,mes_actual,mes_anterior,fecha_calculo
DROP-VIN-AS,Drop Vinos — Autoservicios,AUTOSERVICIOS,VDA/VDG/ESPUMANTES/SIDRA,83,0,83,0,100.0,22139.1,0.0,2213910.0,3751134.0,45194.0,2026-09,2026-08,2026-09-20
DROP-VIN-TRAD,Drop Vinos — Tradicional,TRAD+KIOSCO+ON PREMISE,VDA/VDG/ESPUMANTES/SIDRA,315,0,315,0,100.0,18394.7,0.0,1839474.0,3121258.0,9909.0,2026-09,2026-08,2026-09-20
ESP-INNO,Especial Innovaciones,TODOS,INNOVACIONES,103,0,103,0,100.0,11242.8,0.0,1124276.4,1239900.0,12038.0,2026-09,2026-08,2026-09-20
VOL-PM-VDA,Volumen Petit Mayoristas — Vinos,PETIT MAYORISTAS,VDA,2,0,2,0,100.0,5076.0,0.0,507600.0,903290.0,451645.0,2026-09,2026-08,2026-09-20
DROP-VIN-VTK,Drop Vinos — Vinotecas/TDB,VTK/TDB,VDA/VDG/ESPUMANTES/SIDRA,9,0,9,0,100.0,3033.0,0.0,303300.0,538554.0,59839.0,2026-09,2026-08,2026-09-20
DROP-RTD-ICE,Smirnoff ICE 25%,TODOS,RTD ICE,35,0,35,0,100.0,5551.1,0.0,555112.8,198288.0,5665.0,2026-09,2026-08,2026-09-20
DROP-TERMIDOR,Termidor (5-15%),TODOS,TERMIDOR,18,0,18,0,100.0,6372.0,0.0,637200.0,131198.0,7289.0,2026-09,2026-08,2026-09-20
VOL-PM-ESP,Volumen Petit Mayoristas — Espumantes,PETIT MAYORISTAS,ESPUMANTES,1,0,1,0,100.0,540.0,0.0,54000.0,128653.0,128653.0,2026-09,2026-08,2026-09-20
DROP-FRIZZE-TRAD,Drop Frizze — Tradicional,TRAD+KIOSCO+ON PREMISE,RTD,19,0,19,0,100.0,1632.7,0.0,163267.2,83982.0,4420.0,2026-09,2026-08,2026-09-20
DROP-FRIZZE-AS,Drop Frizze — Autoservicios,AUTOSERVICIOS,RTD,16,0,16,0,100.0,1297.0,0.0,129700.8,58402.0,3650.0,2026-09,2026-08,2026-09-20
DROP-SPI-LOC-AS,Drop Spirits Locales — Autoservicios,AUTOSERVICIOS,SPIRITS LOCALES,4,0,4,0,100.0,163.8,0.0,16380.0,45910.0,11477.0,2026-09,2026-08,2026-09-20
DROP-SPI-LOC-TRAD,Drop Spirits Locales — Tradicional,TRAD+KIOSCO+ON PREMISE,SPIRITS LOCALES,5,0,5,0,100.0,126.0,0.0,12600.0,40158.0,8032.0,2026-09,2026-08,2026-09-20
DROP-FRIZZE-VTK,Drop Frizze — Vinotecas,VTK/TDB,RTD,3,0,3,0,100.0,504.0,0.0,50400.0,30760.0,10253.0,2026-09,2026-08,2026-09-20
DROP-LATAS-AS,Drop RTD Latas — Autoservicios,AUTOSERVICIOS,RTD LATAS,1,0,1,0,100.0,272.4,0.0,27244.8,10068.0,10068.0,2026-09,2026-08,2026-09-20
DROP-LATAS-TRAD,Drop RTD Latas — Tradicional,TRAD+KIOSCO+ON PREMISE,RTD LATAS,3,0,3,0,100.0,272.4,0.0,27244.8,9789.0,3263.0,2026-09,2026-08,2026-09-20
ESP-SMIR-5MAS1,Especial Smirnoff 5+1 — On Premise Noche,ON PREMISE NOCHE; BARES,SPIRITS,1,0,1,0,100.0,25.2,0.0,2520.0,8118.0,8118.0,2026-09,2026-08,2026-09-20
DROP-SPI-VTK,Drop Spirits — Vinotecas,VTK/TDB,SPIRITS,1,0,1,0,100.0,25.2,0.0,2520.0,8118.0,8118.0,2026-09,2026-08,2026-09-20
