accion_id,mes,vigencia_desde,vigencia_hasta,tipo_accion,canal,segmento_cliente,categoria,lineas_segmentos,productos_incluidos,productos_excluidos,condicion_original,unidad_condicion,cantidad_min,cantidad_max,beneficio_tipo,descuento_pct,bonif_compra_cajas,bonif_entrega_cajas,tope_cajas,retiro_deposito,descuento_retiro_deposito_pct,acumulable,prioridad_regla,requiere_validacion,observaciones,fuente
MAY26-GRAL-AS-VIN-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,1 a 9 cajas -> 6% Dto,CAJA,1,9.0,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,30,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-VIN-002,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,10 a 20 cajas -> 8% Dto,CAJA,10,20.0,DESCUENTO,0.08,,,,NO,,NO_DEFINIDO,20,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-VIN-003,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,20 cajas o más -> 10% Dto,CAJA,20,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,SI,Existe solapamiento textual en 20 cajas con la regla anterior; usar prioridad más alta/mayor descuento.,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-VIN-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,0 a 3 cajas -> 6% Dto,CAJA,1,3.0,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,30,SI,Texto original dice 0 a 3; para análisis de ventas reales se normaliza mínimo 1.,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-VIN-002,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,4 cajas o más -> 10% Dto,CAJA,4,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-RTD-FRZ-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,RTD,FRIZZE,FRIZZE,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-RTD-FRZ-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,RTD,FRIZZE,FRIZZE,,1 a 30 cajas -> 5% Dto,CAJA,1,30.0,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-RTD-LAT-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,RTD LATAS,Gordons Tonic; Smirnoff BC; Antares,GORDONS TONIC; SMIR BC; ANTARES,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-RTD-LAT-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,RTD LATAS,Gordons Tonic; Smirnoff BC; Antares,GORDONS TONIC; SMIR BC; ANTARES,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-SPI-LOC-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,SPIRITS LOCALES,Familia Smirnoff y Gordons; White Horse; J&B,FAMILIA SMIRNOFF Y GORDONS; WHITE HORSE; J&B,,1 caja o más -> 6%,CAJA,1,,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-SPI-LOC-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,SPIRITS LOCALES,Familia Smirnoff y Gordons; White Horse; J&B,FAMILIA SMIRNOFF Y GORDONS; WHITE HORSE; J&B,,1 caja o más -> 6%,CAJA,1,,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-AS-SPI-IMP-001,2026-05,2026-05-01,2026-05-31,DROP,AUTOSERVICIOS,Todos,SPIRITS IMPORTADOS,Ver imagen,VER IMAGEN,,1 caja o más -> 3%,CAJA,1,,DESCUENTO,0.03,,,,NO,,NO_DEFINIDO,10,SI,La PPT referencia una imagen para detalle de importados; completar maestro de productos incluidos.,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-GRAL-TRAD-SPI-IMP-001,2026-05,2026-05-01,2026-05-31,DROP,TRAD+KIOSCO+ON PREMISE,Todos,SPIRITS IMPORTADOS,Ver imagen,VER IMAGEN,,1 caja o más -> 3%,CAJA,1,,DESCUENTO,0.03,,,,NO,,NO_DEFINIDO,10,SI,La PPT referencia una imagen para detalle de importados; completar maestro de productos incluidos.,ACCIONES MAYO 2026 (3).pptx | Slide 1
MAY26-VTK-AS-VIN-001,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,1 a 5 cajas -> 8% Dto,CAJA,1,5.0,DESCUENTO,0.08,,,,NO,,NO_DEFINIDO,20,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-VTK-AS-VIN-002,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,VDA/VDG/ESPUMANTES/SIDRA,Medio; Medio Alto; Alto; Superior,,,6 cajas o más -> 10% Dto,CAJA,6,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-VTK-AS-RTD-FRZ-001,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,RTD,FRIZZE,FRIZZE,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-VTK-AS-RTD-LAT-001,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,RTD LATAS,Gordons Tonic; Smirnoff BC; Antares,GORDONS TONIC; SMIR BC; ANTARES,,1 pack o más -> 5% Dto,PACK,1,,DESCUENTO,0.05,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-VTK-AS-SPI-001,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,SPIRITS,Familia Smirnoff y Gordons,FAMILIA SMIRNOFF Y GORDONS,,1 caja o más -> 6%,CAJA,1,,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-VTK-AS-SPI-IMP-001,2026-05,2026-05-01,2026-05-31,DROP,VTK/TDB,Todos,SPIRITS IMPORTADOS,Ver imagen,VER IMAGEN,,1 caja o más -> 3%,CAJA,1,,DESCUENTO,0.03,,,,NO,,NO_DEFINIDO,10,SI,Completar detalle desde imagen de importados.,ACCIONES MAYO 2026 (3).pptx | Slide 2
MAY26-ESP-INNO-001,2026-05,2026-05-01,2026-05-31,ESPECIAL,TODOS,Cualquier segmento,INNOVACIONES,Innovaciones Mayo,CAZADOR; BAUTISMO CABERNET; ALMA MORA LOW; ALARIS DULCE COSECHA TINTO; SIDRA DADÁ; NC LATA; DON DAVID RED BLEND; BLEND DE EXTREMOS PINOT NOIR; DADA EXTRA BRUT; ESPUMANTE MEDALLA,,15% de descuento por 3 unidades,UNIDAD,3,5.0,DESCUENTO,0.15,,,,NO,,NO_DEFINIDO,20,SI,PPT dice 'por 3 unidad'. Max 5 asumido porque a partir de +5 bultos aplica regla superior; revisar si 4/5 unidades también aplican 15%.,ACCIONES MAYO 2026 (3).pptx | Slide 3
MAY26-ESP-INNO-002,2026-05,2026-05-01,2026-05-31,ESPECIAL,TODOS,Cualquier segmento,INNOVACIONES,Innovaciones Mayo,CAZADOR; BAUTISMO CABERNET; ALMA MORA LOW; ALARIS DULCE COSECHA TINTO; SIDRA DADÁ; NC LATA; DON DAVID RED BLEND; BLEND DE EXTREMOS PINOT NOIR; DADA EXTRA BRUT; ESPUMANTE MEDALLA,,"20% de descuento por +5 bultos, pueden ser surtidos",BULTO,6,,DESCUENTO,0.2,,,,NO,,NO_DEFINIDO,10,SI,Texto '+5 bultos' normalizado como mínimo 6; validar si comercialmente significa 5 o más.,ACCIONES MAYO 2026 (3).pptx | Slide 3
MAY26-ESP-SMIR-5MAS1-001,2026-05,2026-05-01,2026-05-31,ESPECIAL,ON PREMISE NOCHE; BARES,Solo clientes On Premise Noche y Bares,SPIRITS,SMIRNOFF,SMIRNOFF,,"Cada 5 cajas, 1 caja bonificada",CAJA,5,,BONIFICACION,,5.0,1.0,ON PREMISE NOCHE: 200 cajas; BARES: 75 cajas,NO,,NO_DEFINIDO,10,NO,Aplicar mientras cumpla segmento. Registrar bonificación como gasto en cajas/importe equivalente.,ACCIONES MAYO 2026 (3).pptx | Slide 3
MAY26-PLANAS-VDA-001,2026-05,2026-05-01,2026-05-31,PLAN_AS,PLANES AASS,Plan AS,VDA,,VDA,Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW RED,10% dto sin mínimo y sin topes,SIN_MINIMO,0,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 4
MAY26-PLANAS-SPI-001,2026-05,2026-05-01,2026-05-31,PLAN_AS,PLANES AASS,Plan AS,SPIRITS,Flia Gordons; Flia Smirnoff,FLIA GORDONS; FLIA SMIRNOFF,Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW RED,10% dto sin mínimo y sin topes,SIN_MINIMO,0,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 4
MAY26-PLANAS-ESP-001,2026-05,2026-05-01,2026-05-31,PLAN_AS,PLANES AASS,Plan AS,ESPUMANTES,Suter; San Telmo; Dada,SUTER; SAN TELMO; DADA,Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW RED,7% dto sin mínimo y sin topes,SIN_MINIMO,0,,DESCUENTO,0.07,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 4
MAY26-PLANAS-RESTO-001,2026-05,2026-05-01,2026-05-31,PLAN_AS,PLANES AASS,Plan AS,RESTO SKU,Resto de SKU,RESTO SKU,Vinos de Mesa; Masivos; Ultra Premium (Vinos); Super Premium (Spirits); Premium (Spirits); Standard solo JW RED,6% dto sin mínimo,SIN_MINIMO,0,,DESCUENTO,0.06,,,,NO,,NO_DEFINIDO,50,NO,"Regla residual; aplicar solo si no matchea VDA, Spirits o Espumantes del plan.",ACCIONES MAYO 2026 (3).pptx | Slide 4
MAY26-VOL-PM-VDA-001,2026-05,2026-05-01,2026-05-31,VOLUMEN,PETIT MAYORISTAS,Petit Mayoristas,VDA,,VDA,,+ de 50 cajas -> 12% Dto,CAJA,51,,DESCUENTO,0.12,,,,NO,,NO_DEFINIDO,20,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 5
MAY26-VOL-PM-VDA-DEP-001,2026-05,2026-05-01,2026-05-31,VOLUMEN,PETIT MAYORISTAS,Petit Mayoristas,VDA,,VDA,,+ de 50 cajas y retiro por depósito -> 15% Dto,CAJA,51,,DESCUENTO,0.15,,,,SI,0.15,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 5
MAY26-VOL-PM-SPI-001,2026-05,2026-05-01,2026-05-31,VOLUMEN,PETIT MAYORISTAS,Petit Mayoristas,SPIRITS,Flia Gordons; Flia Smirnoff,FLIA GORDONS; FLIA SMIRNOFF,,+ de 50 cajas -> 12% Dto,CAJA,51,,DESCUENTO,0.12,,,,NO,,NO_DEFINIDO,20,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 5
MAY26-VOL-PM-SPI-DEP-001,2026-05,2026-05-01,2026-05-31,VOLUMEN,PETIT MAYORISTAS,Petit Mayoristas,SPIRITS,Flia Gordons; Flia Smirnoff,FLIA GORDONS; FLIA SMIRNOFF,,+ de 50 cajas y retiro por depósito -> 15% Dto,CAJA,51,,DESCUENTO,0.15,,,,SI,0.15,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 5
MAY26-VOL-PM-ESP-001,2026-05,2026-05-01,2026-05-31,VOLUMEN,PETIT MAYORISTAS,Petit Mayoristas,ESPUMANTES,Suter; San Telmo; Dada,SUTER; SAN TELMO; DADA,,10 cajas -> 10% Dto,CAJA,10,,DESCUENTO,0.1,,,,NO,,NO_DEFINIDO,10,NO,,ACCIONES MAYO 2026 (3).pptx | Slide 5
